Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-3,35742547264237E-17","-9,11466021782636E-18","1,577370176157E-17",0,0,0,"79,435415621746","0,936396686083776","2,52034653455517E-17","2,57762713761324E-17","1,67256373747467","6,38678724097504E-17","1,48256968665553",0,0,0,0,0,0,package://WBR_prototype/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/base_link.STL,,WB02-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
A1_Link,"0,0123937238930464","0,0249999999999999","-1,38777878078145E-17",0,0,0,"4,58334450236852","0,00461060976863761","-8,53506861085946E-18","5,52943107967607E-17","0,0604011849476407","2,35123470896141E-19","0,0576287318981151",0,0,0,0,0,0,package://WBR_prototype/meshes/A1_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A1_Link.STL,,WB03-2,Origin_A1,Eje1,A1,fixed,"0,255","0,18353","-0,098031",0,"0,71225","1,5708",base_link,0,0,0,,,,,,,,,,,,
A15_Link,"0,109893824662281","0,025","-1,11022302462516E-16",0,0,0,"4,99934360485206","0,00335674361919314","-1,8864423194188E-17","1,03324467037869E-16","0,112471776561935","-1,16854134262832E-18","0,111109301926735",0,0,0,0,0,0,package://WBR_prototype/meshes/A15_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A15_Link.STL,,WB04-4,Origin_A15,Eje5,A15,fixed,"0,1924","0,1","-0,34992","3,1416","-1,5491",0,A1_Link,0,0,0,,,,,,,,,,,,
WR_Link,0,"-0,025","5,55111512312578E-17",0,0,0,"3,01810315038832","0,0122553300870839","1,68518870133883E-34","8,67361737988404E-19","0,0232789295920736","7,37180746360739E-20","0,0122553300870839",0,0,0,0,0,0,package://WBR_prototype/meshes/WR_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://WBR_prototype/meshes/WR_Link.STL,,WB01-1,Origin_WR,Eje9,WR,continuous,"-0,15","0,05",0,"3,1416","1,218",0,A15_Link,0,1,0,,,,,,,,,,,,
A2_Link,"0,0123937238930463","0,025","4,16333634234434E-17",0,0,0,"4,58334450236852","0,00461060976863762","3,30199279258287E-18","-4,46691295064028E-17","0,0604011849476407","-6,0525621139655E-19","0,0576287318981151",0,0,0,0,0,0,package://WBR_prototype/meshes/A2_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A2_Link.STL,,WB03-1,Origin_A2,Eje1,A2,fixed,"0,255","-0,18353","-0,098031","3,1416","0,71225","-1,5708",base_link,0,0,0,,,,,,,,,,,,
A26_Link,"0,109893824662281","0,025","-5,55111512312578E-17",0,0,0,"4,99934360485206","0,00335674361919313","1,04314921672282E-18","-5,68121938382404E-17","0,112471776561935","-2,89320633353585E-19","0,111109301926735",0,0,0,0,0,0,package://WBR_prototype/meshes/A26_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A26_Link.STL,,WB04-3,Origin_A26,Eje6,A26,fixed,"0,1924",0,"0,34992","3,1416","1,5491",0,A2_Link,0,0,0,,,,,,,,,,,,
A3_Link,"0,0123937238930464","0,025",0,0,0,0,"4,58334450236852","0,00461060976863762","-9,72010761066201E-18","6,33174068731535E-17","0,0604011849476408","-5,29351441547726E-19","0,0576287318981152",0,0,0,0,0,0,package://WBR_prototype/meshes/A3_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A3_Link.STL,,WB03-4,Origin_A3,Eje3,A3,fixed,"-0,205","0,183533542805022","-0,0980312942796335",0,"0,71225466118791","1,5707963267949",base_link,0,0,0,,,,,,,,,,,,
A37_Link,"0,109893824662281","0,025","-1,11022302462516E-16",0,0,0,"4,99934360485206","0,00335674361919312","-4,94383568410852E-19","1,2414114874959E-16","0,112471776561935","7,6527546025921E-19","0,111109301926735",0,0,0,0,0,0,package://WBR_prototype/meshes/A37_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A37_Link.STL,,WB04-1,Origin_A37,Eje7,A37,fixed,"0,1924",0,"-0,34992","3,1416","-1,5491",0,A3_Link,0,0,0,,,,,,,,,,,,
WL_Link,"7,28583859910259E-17","0,0249999999999999","-1,11022302462516E-16",0,0,0,"3,01810315038832","0,0122553300870839","-1,89690408902048E-18","-5,42101086242752E-20","0,0232789295920736","-2,80259652532196E-18","0,0122553300870839",0,0,0,0,0,0,package://WBR_prototype/meshes/WL_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://WBR_prototype/meshes/WL_Link.STL,,WB01-2,Origin_WL,Eje10,WL,continuous,"-0,15",0,0,"3,1416","-0,80139",0,A37_Link,0,1,0,,,,,,,,,,,,
A4_Link,"0,0123937238930464","0,025","1,38777878078145E-17",0,0,0,"4,58334450236852","0,00461060976863761","1,20288880669621E-17","-6,26668855696622E-17","0,0604011849476408","6,79934269402883E-19","0,0576287318981152",0,0,0,0,0,0,package://WBR_prototype/meshes/A4_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A4_Link.STL,,WB03-3,Origin_A4,Eje4,A4,fixed,"-0,205","-0,18353","-0,098031","3,1416","0,71225","-1,5708",base_link,0,0,0,,,,,,,,,,,,
A48_Link,"0,109893824662281","0,025",0,0,0,0,"4,99934360485206","0,00335674361919313","2,82486655469367E-17","-6,52689707836274E-17","0,112471776561935","-4,01023479076307E-19","0,111109301926735",0,0,0,0,0,0,package://WBR_prototype/meshes/A48_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://WBR_prototype/meshes/A48_Link.STL,,WB04-2,Origin_A48,Eje8,A48,fixed,"0,1924","0,1","0,34992","3,1416","1,5491",0,A4_Link,0,0,0,,,,,,,,,,,,
